trial,local_time,node_id,qr_id,unique_id,tx_ok,txhash,txhash_ms,display_ms,total_ms,broadcast_ms_node,height,code,gasWanted,gasUsed,timestamp_chain,sender,contract,network,value_len,subprocess_returncode,error_type,error,stderr,net_emulation,net_profile_source,net_profile_name,net_seed,net_base_rtt_ms,net_jitter_ms,net_uplink_kbps,net_downlink_kbps,net_loss_prob,net_timeout_prob,net_outage_prob_per_call,net_outage_duration_min_s,net_outage_duration_max_s,net_tx_bytes,net_rx_bytes,net_pre_delay_ms,net_post_delay_ms,net_outage_active,net_outage_started,net_timeout_injected,net_loss_injected,net_stage,net_note
21,2026-03-15 21:17:25,node-t-8821,81740b02b3384e1a8457340d3f2daa58,8417b83454ee2825c381a4c8cf0365e42a77f2b820cc4092830d754198369362,True,633AD729E6ED1EBE645E7D546F5F56E5707468DF1AB2ACDEAC23E5B3211F31EC,11414.179,4694.213,16108.392,5402.078,117293208,0,1200000,164123,2026-03-15T12:17:17Z,inj16vq0wz6864spzg6rdl6rps07cg0cw5wdhfrhtc,inj13dufe27veajqdxvev8az88xgmksgl3vcszw4ft,testnet,242,0,,,,1,name:outdoor-normal,outdoor-normal,42,140.0,55.0,256.0,1024.0,0.005,0.01,0.001,3.0,8.0,306,382,71.951,32.075,False,False,False,False,,
22,2026-03-15 21:18:03,node-t-8821,bc888a6a82d244919f4840b5e4d11530,5ea707ad0e5f21af1383273062a69e007342659a99538f3fc9f9548cb2eb2f8d,True,8CB1902799EB85935841B4DABB55665F4AE758EA614CD9D4482D8BD430E79BCE,11176.933,4752.576,15929.509,5027.895,117293270,0,1200000,164123,2026-03-15T12:17:56Z,inj16vq0wz6864spzg6rdl6rps07cg0cw5wdhfrhtc,inj13dufe27veajqdxvev8az88xgmksgl3vcszw4ft,testnet,242,0,,,,1,name:outdoor-normal,outdoor-normal,42,140.0,55.0,256.0,1024.0,0.005,0.01,0.001,3.0,8.0,306,382,102.013,91.929,False,False,False,False,,
23,2026-03-15 21:18:41,node-t-8821,c90671b082b0422ab9063e163fa4a2b8,07f09ea1fa2e944ab764e06ee7b5337614f17176c0fdf3ecf78950720e6df07e,True,4BE12068C8FD55AE4B8AE2F9DD6C2025666A3995780FA82D84EE8B053931A968,11105.67,4693.524,15799.194,4953.828,117293332,0,1200000,164123,2026-03-15T12:18:34Z,inj16vq0wz6864spzg6rdl6rps07cg0cw5wdhfrhtc,inj13dufe27veajqdxvev8az88xgmksgl3vcszw4ft,testnet,242,0,,,,1,name:outdoor-normal,outdoor-normal,42,140.0,55.0,256.0,1024.0,0.005,0.01,0.001,3.0,8.0,306,382,76.84,105.276,False,False,False,False,,
24,2026-03-15 21:19:20,node-t-8821,9c9d427d9ae74342aea195f506b8967c,51210a8f0db9b0c0d7e9a38a59ca00881383c90683823a3a2b6e1fa3a8a1cb9a,True,E9E12751F3CC530DCA17FFBC025BC3CD6BD0A28D66DAA4E1B4A41766A4DFE593,11501.567,4697.528,16199.095,5404.639,117293395,0,1200000,164123,2026-03-15T12:19:13Z,inj16vq0wz6864spzg6rdl6rps07cg0cw5wdhfrhtc,inj13dufe27veajqdxvev8az88xgmksgl3vcszw4ft,testnet,242,0,,,,1,name:outdoor-normal,outdoor-normal,42,140.0,55.0,256.0,1024.0,0.005,0.01,0.001,3.0,8.0,306,382,67.798,110.433,False,False,False,False,,
25,2026-03-15 21:19:57,node-t-8821,7e034743bd284117b5af05e0f662eed4,c56a2f679e82ed13498ca3a9a8faafd1e2681ff560c7b3a2e5e994195e8006f6,False,,10968.278,4685.742,15654.02,,,,,,,,,,242,0,EmulatedNetworkError,emulated packet loss / connection failure,,1,name:outdoor-normal,outdoor-normal,42,140.0,55.0,256.0,1024.0,0.005,0.01,0.001,3.0,8.0,306,382,33.26,61.288,False,False,False,True,post,emulated packet loss / connection failure
26,2026-03-15 21:20:36,node-t-8821,b77e1c25f678448cbc43b2207a21f0ae,52ffcc16714e6d694e888e05577f6d1e2527d13f475ec350b0c5ff2233642b15,True,AF005C813AB544ED26DFFC1611349F7525C7EF5647301CCDE12EF841649AC38E,11102.249,4738.998,15841.246,4953.132,117293518,0,1200000,164123,2026-03-15T12:20:28Z,inj16vq0wz6864spzg6rdl6rps07cg0cw5wdhfrhtc,inj13dufe27veajqdxvev8az88xgmksgl3vcszw4ft,testnet,242,0,,,,1,name:outdoor-normal,outdoor-normal,42,140.0,55.0,256.0,1024.0,0.005,0.01,0.001,3.0,8.0,306,382,142.357,80.707,False,False,False,False,,
27,2026-03-15 21:21:14,node-t-8821,b395e946ff874450b9b7ce1d00302948,e424ec24a4331c5a1168aa0191cdbb0b2270ce503c40cd0d03eb54e987b756ab,True,A8E9E87155CEDFE88967103C92EC70D6D8F5B8B1058CC12EFF4F4F54831F1E69,11023.265,4702.897,15726.163,4816.202,117293580,0,1200000,164123,2026-03-15T12:21:07Z,inj16vq0wz6864spzg6rdl6rps07cg0cw5wdhfrhtc,inj13dufe27veajqdxvev8az88xgmksgl3vcszw4ft,testnet,242,0,,,,1,name:outdoor-normal,outdoor-normal,42,140.0,55.0,256.0,1024.0,0.005,0.01,0.001,3.0,8.0,306,382,132.277,93.065,False,False,False,False,,
28,2026-03-15 21:21:52,node-t-8821,3890ee62cfe1407792976db96f2c28b3,f1354f47a79e3ffc0a534b5cbe26032ec5d9b5773525befd4d5f0d76148edabe,True,A6D3A5C014B1C673C656FCCA20DE5D305E8FF90392950859F3DA0358569B6FB8,11216.454,4724.65,15941.104,5063.905,117293643,0,1200000,164123,2026-03-15T12:21:45Z,inj16vq0wz6864spzg6rdl6rps07cg0cw5wdhfrhtc,inj13dufe27veajqdxvev8az88xgmksgl3vcszw4ft,testnet,242,0,,,,1,name:outdoor-normal,outdoor-normal,42,140.0,55.0,256.0,1024.0,0.005,0.01,0.001,3.0,8.0,306,382,121.735,92.575,False,False,False,False,,
29,2026-03-15 21:22:30,node-t-8821,0437e8a3f7e549e9bfc16491c772b0d9,b6522f1f34c4c151acb544ed0c0d4f1f2d0fa4cf06207044469fef2f86cf453a,True,E653DA8BB83D2E210D079BC5E0A93EA88B66A24D4F4D4B3FCFC6944C60418F2B,11297.397,4725.483,16022.88,5184.507,117293704,0,1200000,164123,2026-03-15T12:22:23Z,inj16vq0wz6864spzg6rdl6rps07cg0cw5wdhfrhtc,inj13dufe27veajqdxvev8az88xgmksgl3vcszw4ft,testnet,242,0,,,,1,name:outdoor-normal,outdoor-normal,42,140.0,55.0,256.0,1024.0,0.005,0.01,0.001,3.0,8.0,306,382,59.028,66.34,False,False,False,False,,
30,2026-03-15 21:23:08,node-t-8821,a7e20212a44d4a87b5b66619954a6e8f,fb2a1c25258a439ff638d2e342d6f7c3cb866bfeff2eae08792e0eb1804d02ee,True,17DC2608FF857AD7ED9759DC433D5975F617B3445F60437D8CF0BC6FFF3AC517,10609.33,4732.336,15341.666,4574.696,117293766,0,1200000,164123,2026-03-15T12:23:01Z,inj16vq0wz6864spzg6rdl6rps07cg0cw5wdhfrhtc,inj13dufe27veajqdxvev8az88xgmksgl3vcszw4ft,testnet,242,0,,,,1,name:outdoor-normal,outdoor-normal,42,140.0,55.0,256.0,1024.0,0.005,0.01,0.001,3.0,8.0,306,382,36.415,62.109,False,False,False,False,,
